"lad_id","R00","R01","R02","R03","R04","R05","R07","R08","R09","R11","R12","R13"
"021",1,12,23,82,313,814,43,0,63,0,0,0
"022",0,11,13,43,164,401,5,0,47,0,0,0
"024",2,6,13,40,120,350,3,0,8,0,0,0
"025",14,63,35,99,162,586,68,0,90,0,0,0
"027",1,26,25,71,180,910,58,0,88,0,0,0
"028",3,17,8,44,109,382,31,0,50,0,0,0
"029",0,12,6,49,78,516,4,0,39,0,0,0
"030",1,14,14,83,178,736,152,0,74,0,0,0
"032",0,9,3,22,118,840,100,0,9,0,0,0
"055",1,16,21,78,194,680,0,1,104,0,0,0
"056",2,10,3,23,56,404,1,1,34,0,0,0
"057",0,4,5,30,93,626,29,0,31,0,0,0
"058",0,2,22,48,96,444,0,0,27,0,0,0
"059",2,7,10,11,70,693,30,0,67,0,0,0
"060",2,3,11,62,220,1240,8,0,119,0,0,0
"062",1,16,12,64,123,714,2,0,40,0,0,0
"063",1,4,4,18,50,500,30,0,63,0,0,0
"064",0,10,6,39,145,638,11,0,67,0,0,0
"066",0,7,13,44,147,598,3,0,56,0,0,0
"067",2,1,2,48,105,630,2,0,3,0,0,0
"068",0,1,8,33,107,544,23,0,56,0,0,0
"069",1,11,1,24,69,551,10,0,19,0,0,0
"070",2,20,17,69,134,616,1,0,36,0,0,0
"072",3,28,20,140,294,818,0,0,130,0,0,0
"073",0,18,12,48,167,716,0,0,28,0,0,0
"074",2,4,7,20,47,438,11,0,0,0,0,0
"075",0,2,0,15,126,1202,0,0,73,0,0,0
"077",1,10,5,20,68,583,31,0,40,0,0,0
"078",0,8,7,22,78,1078,25,0,45,0,0,0
"080",0,2,5,25,75,540,4,0,136,0,0,0
"081",0,6,6,6,50,286,26,0,17,0,0,0
"084",1,3,1,18,50,240,2,0,53,0,0,0
"085",0,5,2,15,42,458,0,0,67,0,0,0
"086",0,4,1,28,39,401,0,0,261,0,0,0
"088",0,1,3,24,77,455,0,0,4,0,0,0
"089",0,1,3,25,148,851,28,0,428,0,0,0
"090",0,0,1,16,58,376,13,0,399,0,0,0
"102",0,5,4,36,142,767,33,0,80,0,0,0
"103",0,6,6,19,98,664,28,0,12,0,0,0
"105",1,26,13,58,101,683,36,0,127,0,0,0
"106",0,21,2,118,190,632,20,0,1,0,0,0
"107",0,6,4,110,272,908,44,0,38,0,0,0
"109",0,9,13,45,116,751,37,0,172,0,0,0
"110",0,6,3,35,166,791,0,0,66,0,0,0
"111",0,2,3,25,73,473,7,0,38,0,0,0
"112",1,22,12,28,74,309,16,0,27,0,0,0
"113",2,22,14,62,120,910,0,0,51,0,0,0
"114",0,11,13,40,163,966,29,0,230,0,0,0
"115",3,15,9,82,120,618,18,0,155,0,0,0
"116",3,19,4,23,72,382,23,0,50,0,0,0
"117",1,3,0,16,37,432,4,0,73,0,0,0
"118",1,4,7,17,63,385,25,0,48,0,0,0
"120",3,12,6,20,124,763,96,0,29,0,0,0
"122",2,18,20,26,102,497,21,0,84,0,0,0
"124",0,6,0,90,219,544,3,0,23,0,0,0
"125",1,5,9,64,173,555,8,0,73,0,0,0
"126",1,2,8,28,106,432,43,0,80,0,0,0
"127",1,13,14,22,74,754,0,0,12,0,0,0
"128",1,12,21,79,161,590,1,0,114,0,0,0
"129",1,9,18,57,134,416,22,0,17,0,0,0
"131",1,4,6,55,124,555,4,0,271,0,0,0
"132",0,10,16,32,149,587,58,0,57,0,0,0
"133",1,7,10,25,91,522,0,0,97,0,0,0
"134",2,16,15,25,80,431,0,0,37,0,0,0
"135",1,5,8,25,61,392,0,0,19,0,0,0
"136",1,9,9,60,107,359,36,0,30,0,0,0
"137",0,11,2,29,59,618,0,0,108,0,0,0
"138",4,30,14,60,242,936,0,0,59,0,0,0
"140",1,4,30,45,134,369,9,0,65,0,0,0
"142",1,17,21,48,161,588,30,0,37,0,0,0
"143",1,13,7,42,93,648,4,0,25,0,0,0
"145",0,5,1,42,88,325,42,0,173,0,0,0
"148",0,6,8,43,87,332,41,0,232,0,0,0
"149",0,4,6,33,57,197,38,0,149,0,0,0
"151",0,5,4,45,74,387,55,0,217,0,0,0
"152",0,8,6,55,126,436,31,0,285,0,0,0
"153",0,4,7,46,97,307,56,0,167,0,0,0
"155",0,11,2,27,68,544,0,0,0,0,0,0
"156",3,27,17,61,143,721,32,0,97,0,0,0
"157",1,25,20,48,226,646,182,0,100,0,0,0
"158",6,34,47,53,153,258,12,0,48,0,0,0
"159",0,42,18,35,184,626,39,1,73,0,0,0
"160",2,17,22,95,143,555,10,0,57,0,0,0
"161",0,14,8,8,66,362,1,0,51,0,0,0
"162",0,10,4,41,114,279,9,0,7,0,0,0
"163",1,18,20,46,124,428,39,0,53,0,0,0
"164",6,11,22,52,101,345,95,0,111,0,0,0
"179",0,9,5,33,127,810,31,0,49,0,0,0
"180",0,7,15,166,254,955,22,0,99,0,0,0
"181",1,12,21,60,168,501,1,0,55,0,0,0
"182",1,11,14,77,197,765,0,0,71,0,0,0
"184",1,10,9,23,125,493,12,0,13,0,0,0
"185",1,5,1,18,107,896,39,0,61,0,0,0
"187",1,21,23,101,194,427,0,0,34,0,0,0
"188",1,7,18,92,156,729,19,0,58,0,0,0
"189",0,4,7,42,168,738,52,0,13,0,0,0
"190",1,14,16,6,87,1142,0,0,46,0,0,0
"191",0,9,22,83,200,558,27,0,65,0,0,0
"192",1,10,10,16,88,777,42,0,37,0,0,0
"196",1,6,12,68,197,474,30,0,74,0,0,0
"197",1,23,12,49,124,550,13,0,109,0,0,0
"198",1,24,21,35,152,398,15,0,104,0,0,0
"199",2,25,15,41,145,409,22,0,32,0,0,0
"200",1,26,15,60,164,888,30,0,0,0,0,0
"201",2,2,7,38,101,619,1,0,29,0,0,0
"202",1,22,23,131,201,804,28,0,63,0,0,0
"203",0,3,9,16,57,475,18,0,52,0,0,0
"204",0,3,4,16,63,427,26,0,47,0,0,0
"205",1,4,5,52,74,377,0,0,0,0,0,0
"206",0,20,12,90,104,512,45,0,39,0,0,0
"207",1,12,14,67,142,617,14,0,101,0,0,0
"209",2,12,20,62,78,379,1,0,72,0,0,0
"210",0,9,32,46,157,1040,6,0,33,0,0,0
"211",1,2,4,48,71,501,21,0,108,0,0,0
"212",0,6,12,70,152,551,1,0,60,0,0,0
"214",0,4,8,16,73,326,8,0,37,0,0,0
"215",3,13,9,46,112,528,21,0,55,0,0,0
"216",1,3,4,24,39,243,11,0,20,0,0,0
"219",1,3,1,20,45,431,13,0,45,0,0,0
"220",6,25,24,92,155,1415,8,0,4,0,0,0
"221",0,8,9,31,112,724,3,0,61,0,0,0
"222",1,5,5,29,108,664,18,0,40,0,0,0
"223",0,3,5,55,128,419,15,0,111,0,0,0
"224",1,6,8,29,101,840,2,0,225,0,0,0
"225",2,18,4,49,113,427,60,0,183,0,0,0
"227",0,33,3,75,247,819,42,0,29,0,0,0
"228",1,0,2,17,98,732,5,0,38,0,0,0
"229",5,22,14,43,201,728,1,0,16,0,0,0
"230",1,29,16,95,244,900,94,0,156,0,0,0
"231",5,18,13,66,161,992,373,0,32,0,0,0
"232",0,31,17,169,382,773,50,0,67,0,0,0
"233",2,8,3,15,74,788,12,0,149,0,0,0
"235",4,5,3,21,65,256,3,0,3,0,0,0
"236",0,4,1,13,80,513,1,0,70,0,0,0
"237",0,3,5,28,124,491,9,0,89,0,0,0
"238",0,8,8,35,137,588,0,0,17,0,0,0
"239",3,41,28,224,333,871,19,0,89,0,0,0
"240",0,6,3,46,118,533,46,0,51,0,0,0
"241",4,13,12,43,122,424,7,0,29,0,0,0
"250",0,4,10,14,107,414,208,0,122,0,0,0
"251",3,3,6,38,86,679,35,0,42,0,0,0
"252",1,5,0,44,142,1171,61,0,173,0,0,0
"253",0,3,3,14,42,483,9,0,12,0,0,0
"254",0,6,11,31,121,380,16,0,3,0,0,0
"255",0,15,30,73,238,1194,0,0,45,0,0,0
"256",0,6,13,49,126,394,0,0,13,0,0,0
"259",6,14,4,22,63,661,2,0,34,0,0,0
"260",2,4,4,16,55,789,2,0,74,0,0,0
"261",1,13,21,84,144,496,76,0,33,0,0,0
"262",0,2,8,32,67,448,40,0,86,0,0,0
"263",3,16,24,56,128,481,4,0,64,0,0,0
"264",3,6,6,36,72,843,14,0,49,0,0,0
"266",1,12,15,42,70,545,5,0,52,0,0,0
"268",2,18,14,69,141,713,31,0,20,0,0,0
"269",2,28,31,135,229,881,7,0,18,0,0,0
"270",1,21,32,94,184,676,22,0,129,0,0,0
"271",2,18,24,83,169,564,17,0,66,0,0,0
"272",0,6,5,11,84,690,3,0,124,0,0,0
"281",1,15,11,31,129,1010,2,0,141,0,0,0
"282",2,8,10,29,153,929,16,0,97,0,0,0
"283",0,10,14,76,212,1198,61,0,170,0,0,0
"284",1,12,16,29,163,673,0,0,0,0,0,0
"285",0,1,9,13,83,395,0,0,37,0,0,0
"287",1,3,3,19,69,630,0,0,8,0,0,0
"288",2,12,24,67,263,559,5,0,0,0,0,0
"289",6,28,13,51,107,436,2,0,151,0,0,0
"290",0,16,7,65,149,646,33,0,50,0,0,0
"291",0,14,12,42,127,431,1,0,0,0,0,0
"292",1,32,33,109,211,681,1,0,0,0,0,0
"293",0,6,12,65,164,454,15,0,0,0,0,0
"295",6,25,4,23,65,303,1,0,48,0,0,0
"297",1,5,7,29,90,549,8,0,187,0,0,0
"298",0,9,2,19,64,387,15,0,75,0,0,0
"299",2,19,13,35,139,748,69,0,0,0,0,0
"300",1,2,6,24,86,472,17,0,215,0,0,0
"301",3,12,5,21,60,681,42,0,130,0,0,0
"302",0,5,2,14,81,1005,46,0,46,0,0,0
"303",1,14,18,46,150,825,29,0,62,0,0,0
"305",1,5,6,30,129,766,0,0,58,0,0,0
"306",0,20,12,37,99,236,14,0,42,0,0,0
"307",0,19,11,45,122,550,0,0,93,0,0,0
"308",2,15,10,44,101,459,43,0,43,0,0,0
"309",2,14,5,35,73,606,2,0,123,0,0,0
"310",2,14,24,53,54,390,3,0,105,0,0,0
"311",2,30,12,54,121,407,2,0,70,0,0,0
"312",0,9,8,21,58,418,9,0,42,0,0,0
"313",1,4,7,67,144,414,21,0,24,0,0,0
"314",1,22,21,60,127,739,1,0,39,0,0,0
"315",6,5,3,22,44,583,0,0,84,0,0,0
"317",2,9,17,48,113,365,6,0,11,0,0,0
"318",1,6,7,39,158,515,19,0,54,0,0,0
"319",5,29,16,54,111,539,1,0,24,0,0,0
"320",2,7,20,73,170,812,26,0,145,0,0,0
"321",5,17,26,31,97,900,0,0,158,0,0,0
"323",0,7,2,19,54,306,0,0,28,0,0,0
"324",1,9,33,51,265,693,4,0,52,0,0,0
"325",3,17,15,44,153,1011,22,0,56,0,0,0
"326",0,3,8,31,107,516,2,0,161,0,0,0
"327",1,15,23,36,199,734,3,0,22,0,0,0
"328",1,13,21,28,91,949,11,0,94,0,0,0
"329",0,26,15,45,137,626,0,0,31,0,0,0
"336",0,4,2,8,25,57,0,0,4,0,0,0
"401",3,50,21,90,267,1124,219,0,94,0,0,0
"402",112,497,287,513,1093,3526,0,0,302,0,0,0
"403",17,72,94,311,644,964,131,0,108,0,0,0
"404",8,112,139,338,651,2344,137,0,200,0,0,0
"405",4,40,14,69,137,806,85,0,0,0,0,0
"406",11,47,72,207,393,856,74,0,467,0,0,0
"407",3,37,63,218,365,1589,0,0,57,0,0,0
"408",9,79,66,221,480,1731,1,0,172,0,0,0
"409",5,124,58,269,562,1113,23,0,172,0,0,0
"410",1,15,33,148,344,882,158,0,0,0,0,0
"411",11,100,113,364,746,2031,178,0,89,0,0,0
"412",0,13,4,65,107,413,0,0,60,0,0,0
"413",7,83,122,321,1461,2869,143,0,78,0,0,0
"414",39,144,128,355,658,1792,375,0,76,0,0,0
"415",18,273,109,436,693,2494,0,0,157,0,0,0
"416",7,58,60,167,444,1387,167,0,63,0,0,0
"417",2,19,32,70,265,850,0,0,66,0,0,0
"418",7,24,58,172,317,1037,25,0,63,0,0,0
"419",1,36,30,150,328,770,0,0,234,0,0,0
"420",3,111,26,125,240,1359,34,0,71,0,0,0
"421",6,30,60,156,277,575,0,0,0,0,0,0
"422",0,74,40,165,337,1101,0,0,142,0,0,0
"423",12,67,63,470,404,1030,1,0,104,0,0,0
"424",0,19,34,155,219,1499,15,0,31,0,0,0
"425",7,99,86,331,809,2406,302,0,193,0,0,0
"426",1,39,18,115,212,884,151,0,9,0,0,0
"427",3,14,31,105,229,658,0,0,51,0,0,0
"428",1,60,47,233,442,1067,146,0,222,0,0,0
"429",0,15,13,402,353,1145,12,0,131,0,0,0
"430",0,7,41,242,248,883,0,0,0,0,0,0
"431",3,71,102,210,283,1132,121,1,129,0,0,0
"432",7,53,43,155,379,1505,278,0,64,0,0,0
"433",6,94,100,284,363,726,10,0,144,0,0,0
"434",9,96,72,509,525,805,0,0,7,0,0,0
"435",8,45,72,252,425,1236,0,0,156,0,0,0
"436",2,17,1,59,166,1299,158,0,76,0,0,0
"501",6,55,53,179,292,334,0,0,60,0,0,0
"502",7,45,68,246,421,1234,0,0,64,0,0,0
"503",2,35,37,169,349,725,31,0,62,0,0,0
"504",18,127,99,363,493,765,172,0,56,0,0,0
"505",3,71,36,349,407,903,397,0,106,0,0,0
"506",49,196,206,556,617,1168,2,0,99,0,0,0
"507",27,277,59,333,441,1047,621,0,52,0,0,0
"508",5,31,59,88,258,1278,40,0,69,0,0,0
"509",26,206,181,319,445,928,219,0,193,0,0,0
"510",19,154,98,252,469,978,110,0,34,0,0,0
"511",11,92,45,136,394,953,25,0,113,0,0,0
"512",7,86,198,655,664,755,3,0,130,0,0,0
"513",4,40,36,216,310,1074,55,0,42,0,0,0
"514",3,40,39,101,282,1086,1,0,143,0,0,0
"515",2,57,102,287,301,450,66,0,51,0,0,0
"516",4,104,50,153,348,748,76,0,211,0,0,0
"517",7,103,79,270,407,864,63,0,171,0,0,0
"518",3,118,67,162,329,699,18,0,143,0,0,0
"519",7,108,166,341,450,762,1,0,0,0,0,0
"520",1,21,29,171,281,1108,59,0,47,0,0,0
"521",3,26,40,163,203,682,3,0,71,0,0,0
"522",9,142,71,388,721,1110,466,0,60,0,0,0
"523",4,99,143,349,432,827,0,0,130,0,0,0
"524",7,42,36,162,314,643,13,0,67,0,0,0
"525",15,169,156,319,361,880,0,0,13,0,0,0
"526",6,77,45,128,205,1112,62,0,88,0,0,0
"527",4,33,45,148,299,780,132,0,28,0,0,0
"528",11,100,179,439,701,1302,2,0,115,0,0,0
"529",4,19,20,93,134,442,74,0,52,0,0,0
"530",21,222,114,231,585,1400,135,0,0,0,0,0
"531",15,46,87,289,284,751,257,0,64,0,0,0
"532",7,91,74,272,432,1154,38,0,86,0,0,0
"533",29,175,373,423,1064,2207,231,1,70,0,0,0
"550",0,21,12,56,164,1268,34,0,110,0,0,0
"551",0,3,7,42,126,523,2,0,0,0,0,0
"552",1,25,20,67,182,232,3,0,61,0,0,0
"553",0,15,30,175,308,561,28,0,114,0,0,0
"554",0,10,7,52,212,1650,0,0,149,0,0,0
"555",0,43,36,208,320,707,0,0,80,0,0,0
"556",10,112,87,295,755,1677,108,2,206,0,0,0
"557",2,40,40,68,198,708,17,1,76,0,0,0
"558",0,7,6,92,334,1267,6,0,0,0,0,0
"559",1,5,8,27,70,820,0,0,26,0,0,0
"560",0,22,8,34,182,822,1,0,41,0,0,0
"561",0,24,28,82,144,228,0,0,0,0,0,0
"562",1,14,11,96,186,571,0,0,0,0,0,0
"563",1,25,21,93,260,641,0,0,0,0,0,0
"564",5,33,32,88,261,756,0,0,146,0,0,0
"565",0,43,26,51,346,1568,0,0,0,0,0,0
"566",5,44,51,130,494,1358,0,0,190,0,0,0
"567",7,49,71,311,556,761,20,0,152,0,0,0
"568",9,56,30,138,309,1142,2,0,0,0,0,0
"569",1,38,22,75,181,290,22,0,123,0,0,0
"570",1,17,45,144,282,527,21,0,165,0,0,0
"571",0,11,7,43,89,962,0,0,3,0,0,0
"701",1,15,41,83,281,817,72,0,75,0,0,0
"702",0,12,26,140,252,771,80,0,54,0,0,0
"703",5,42,20,136,410,1757,26,0,33,0,0,0
"704",0,51,15,156,394,1856,195,0,450,0,0,0
"705",1,48,66,303,767,3403,2,0,22,0,0,0
"706",3,41,120,313,884,2480,113,0,323,0,0,0
"707",1,28,15,106,437,2464,123,0,283,0,0,0
"708",0,22,15,154,359,1815,0,0,0,0,0,0
"709",4,76,66,240,484,2018,140,0,1562,0,0,0
"760",0,0,0,0,0,0,0,0,55,318,1461,13
"761",0,0,0,0,0,0,212,0,233,108,1516,33
"762",0,0,0,0,0,0,109,0,0,40,741,8
"763",0,0,0,0,0,0,12,0,56,56,720,67
"764",0,0,0,0,0,0,3,0,250,25,819,1
"765",0,0,0,0,0,0,20,0,45,79,1113,7
"767",0,0,0,0,0,0,0,0,32,132,1302,51
"768",0,0,0,0,0,0,20,0,37,47,332,1
"769",0,0,0,0,0,0,0,0,4,43,671,37
"770",0,0,0,0,0,0,3,0,6,42,1328,73
"772",0,0,0,0,0,0,9,0,95,188,1138,0
"773",0,0,0,0,0,0,0,0,0,828,3293,67
"774",0,0,0,0,0,0,47,0,178,63,920,8
"775",0,0,0,0,0,0,249,0,128,134,3436,63
"776",0,0,0,0,0,0,916,0,0,561,3611,91
"777",0,0,0,0,0,0,943,0,178,394,2264,33
"779",0,0,0,0,0,0,21,0,18,137,2442,0
"780",0,0,0,0,0,0,115,0,39,274,1782,50
"781",0,0,0,0,0,0,0,0,10,36,870,3
"782",0,0,0,0,0,0,64,0,0,45,918,0
"783",0,0,0,0,0,0,0,0,67,86,492,0
"784",0,0,0,0,0,0,129,0,46,115,768,0
"785",0,0,0,0,0,0,3,0,0,2,308,0
"786",0,0,0,0,0,0,81,0,0,23,983,0
"787",0,0,0,0,0,0,0,0,8,16,494,0
"788",0,0,0,0,0,0,0,0,123,22,1202,13
"789",0,0,0,0,0,0,23,0,135,31,153,7
"791",0,0,0,0,0,0,2,0,90,23,314,27
"801",0,8,9,56,142,748,29,0,126,0,0,0
"802",1,6,4,62,187,806,144,0,125,0,0,0
"803",0,6,2,53,231,1170,28,0,99,0,0,0
"804",0,2,7,59,167,784,14,0,140,0,0,0
"805",0,4,9,39,181,1115,63,0,87,0,0,0
"807",1,15,39,237,606,1856,93,1,221,0,0,0
"809",0,4,10,21,92,646,19,0,83,0,0,0
"811",0,1,9,44,175,959,19,0,91,0,0,0
"813",0,4,3,77,245,825,19,0,97,0,0,0
"814",0,1,5,38,212,1169,37,0,95,0,0,0
"816",0,2,10,59,219,937,24,0,104,0,0,0
"855",12,130,45,186,630,2465,591,0,217,0,0,0
"856",5,17,30,97,186,1175,0,0,284,0,0,0
"857",1,15,14,107,216,1144,0,0,257,0,0,0
"858",2,10,6,104,182,666,0,0,5,0,0,0
"859",0,1,3,34,106,555,3,0,43,0,0,0
"860",0,10,21,74,110,732,24,0,51,0,0,0
"861",8,7,17,57,81,788,110,0,68,0,0,0
"862",0,12,18,67,140,1033,25,0,114,0,0,0
"863",4,43,34,251,468,2009,1,0,120,0,0,0
"864",3,33,45,102,259,751,0,0,96,0,0,0
"865",2,9,23,50,125,1044,1,0,73,0,0,0
"866",14,66,66,189,313,1157,119,0,151,0,0,0
"867",8,37,79,117,249,1137,164,0,134,0,0,0
"868",1,35,36,110,340,1149,84,0,121,0,0,0
"869",13,51,72,169,223,515,9,0,25,0,0,0
"870",0,18,43,111,331,1261,74,0,114,0,0,0
"871",3,23,20,106,346,1170,4,0,92,0,0,0
"872",1,22,24,78,220,1378,99,0,125,0,0,0
"873",0,5,16,69,95,413,36,1,71,0,0,0
"874",6,14,10,25,40,719,30,0,62,0,0,0
"875",6,49,40,222,583,1851,148,0,167,0,0,0
"876",7,41,38,157,302,1103,91,0,47,0,0,0
"877",1,7,11,85,190,1006,51,0,13,0,0,0
"878",13,96,143,409,462,1387,17,0,25,0,0,0
"879",0,3,2,5,65,243,64,0,31,0,0,0
"880",4,52,26,226,364,1149,0,0,141,0,0,0
"881",9,46,49,128,273,774,2,0,112,0,0,0
"882",0,9,10,47,138,427,44,0,79,0,0,0
"883",1,17,25,76,178,774,11,0,41,0,0,0
"884",3,60,28,98,210,680,1,0,110,0,0,0
"885",5,74,37,107,115,317,0,0,31,0,0,0
"886",4,14,16,80,196,936,33,0,54,0,0,0
"887",0,8,13,38,115,640,15,0,91,0,0,0
"888",2,31,52,55,242,1025,7,0,131,0,0,0
"889",2,19,13,62,138,593,14,0,78,0,0,0
"890",1,27,14,70,210,1257,41,0,161,0,0,0
"891",3,25,8,90,238,1187,0,0,0,0,0,0
"892",1,48,11,40,174,790,0,0,0,0,0,0
"893",3,73,61,172,282,759,9,0,177,0,0,0
"894",0,23,9,79,138,613,40,0,66,0,0,0
"895",1,15,34,124,300,1022,78,0,294,0,0,0
"896",1,23,17,50,233,1294,0,0,3,0,0,0
"897",0,30,53,118,208,578,103,0,157,0,0,0
"898",3,43,43,171,461,1048,0,0,0,0,0,0
"899",4,65,34,111,342,2026,131,0,187,0,0,0
"900",4,56,20,46,163,808,99,0,91,0,0,0
